13:57:27 18.04.18	3333					 1 0111 0000 0000
13:57:28 18.04.18	3333					 1 0111 0000 0000
13:57:29 18.04.18	3333					 1 0111 0000 0000
13:57:30 18.04.18	3333					 1 0111 0000 0000
13:57:31 18.04.18	3330					10 0001 0001 0100
13:57:32 18.04.18	3330					10 0001 0001 0100
13:57:33 18.04.18	3330					10 0001 0001 0100
13:57:34 18.04.18	3330					10 0001 0001 0100
13:57:35 18.04.18	3330					10 0001 0001 0100
13:57:36 18.04.18	3330	   -5.80	    0.00	    0.43	    0.00	10 0000 0001 0100
13:57:37 18.04.18	3330	   -5.80	    0.00	    0.44	    0.00	10 0000 0001 0100
13:57:38 18.04.18	3330	   -5.80	    0.00	    0.44	    0.00	10 0000 0001 0100
13:57:39 18.04.18	3330	   -5.80	    0.00	    0.43	    0.00	10 0000 0001 0100
13:57:40 18.04.18	3330	   -5.80	    0.00	    0.44	    0.00	10 0000 0001 0100
13:57:41 18.04.18	3330	   -5.80	    0.00	    0.44	    0.00	10 0000 0001 0100
13:57:59 18.04.18	3333					 1 0111 0000 0000
13:58:00 18.04.18	3333					 1 0111 0000 0000
13:58:01 18.04.18	3333					 1 0111 0000 0000
13:58:02 18.04.18	3333					 1 0111 0000 0000
13:58:03 18.04.18	3333					 1 0111 0000 0000
13:58:04 18.04.18	3330					10 0001 0001 0100
13:58:05 18.04.18	3330					10 0001 0001 0100
13:58:06 18.04.18	3330					10 0001 0001 0100
13:58:07 18.04.18	3330					10 0001 0001 0100
13:58:08 18.04.18	3330					10 0001 0001 0100
13:58:09 18.04.18	3330					10 0001 0001 0100
13:58:10 18.04.18	3330					10 0001 0001 0100
13:58:11 18.04.18	3330					10 0001 0001 0100
13:58:12 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:13 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:14 18.04.18	3330	   -3.33	    0.00	    0.25	    0.00	10 0000 0001 0100
13:58:15 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:16 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:17 18.04.18	3330	   -3.33	    0.00	    0.25	    0.00	10 0000 0001 0100
13:58:18 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:19 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:20 18.04.18	3330	   -3.33	    0.00	    0.25	    0.00	10 0000 0001 0100
13:58:21 18.04.18	3330	   -3.33	    0.00	    0.25	    0.00	10 0000 0001 0100
13:58:22 18.04.18	3330	   -3.33	    0.00	    0.26	    0.00	10 0000 0001 0100
13:58:23 18.04.18	3330	   -3.33	    0.00	    0.34	    0.00	10 0000 0001 0100
13:58:24 18.04.18	3330	   -3.33	    0.00	    0.34	    0.00	10 0000 0001 0100
13:58:25 18.04.18	3330	   -3.33	    0.00	    0.35	    0.00	10 0000 0001 0100
14:01:00 18.04.18	3333					 1 0111 0000 0000
14:01:01 18.04.18	3333					 1 0111 0000 0000
14:01:02 18.04.18	3333					 1 0111 0000 0000
14:01:03 18.04.18	3333					 1 0111 0000 0000
14:01:04 18.04.18	3330					10 0001 0001 0100
14:01:23 18.04.18	3330					10 0001 0001 0100
14:01:44 18.04.18	3333					 1 0111 0000 0000
14:01:45 18.04.18	3333					 1 0111 0000 0000
14:01:46 18.04.18	3333					 1 0111 0000 0000
14:01:49 18.04.18	3333					 1 0111 0000 0000
14:01:49 18.04.18	3330					10 0001 0001 0100
14:01:50 18.04.18	3330					10 0001 0001 0100
14:02:33 18.04.18	3333					 1 0111 0000 0000
14:02:34 18.04.18	3333					 1 0111 0000 0000
14:02:35 18.04.18	3330					 0 0111 0000 0000
14:02:36 18.04.18	3330					10 0001 0001 0100
14:02:48 18.04.18	3330					10 0001 0001 0100
14:02:48 18.04.18	3330					10 0001 0001 0100
14:03:19 18.04.18	3333					 1 0111 0000 0000
14:03:20 18.04.18	3333					 1 0111 0000 0000
14:03:21 18.04.18	3330					 0 0111 0000 0000
14:03:22 18.04.18	3330					10 0001 0001 0100
14:03:23 18.04.18	3330					10 0001 0001 0100
14:03:24 18.04.18	3330					10 0001 0001 0100
14:03:25 18.04.18	3330					10 0001 0001 0100
14:03:26 18.04.18	3330					10 0001 0001 0100
14:03:27 18.04.18	3330					10 0001 0001 0100
14:03:28 18.04.18	3330	   -0.00	    0.00	    0.00	    0.00	10 0000 0001 0100
14:03:29 18.04.18	3330	   -0.00	    0.00	    0.00	    0.00	10 0000 0001 0100
14:03:30 18.04.18	3330	   -0.00	    0.00	    0.00	    0.00	10 0000 0001 0100
14:03:31 18.04.18	3330	   -0.00	    0.00	    0.00	    0.00	10 0000 0001 0100
14:03:32 18.04.18	3330	   -0.00	    0.00	    0.00	    0.00	10 0000 0001 0100
14:03:33 18.04.18	3330	   -0.00	    0.00	    0.00	    0.00	10 0000 0001 0100
