16:35:41 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:42 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:43 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:44 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:45 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:46 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:47 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:48 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:49 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:50 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:51 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:52 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:53 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:54 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:55 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:56 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:57 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:58 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:35:59 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:00 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:01 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:02 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:03 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:04 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:05 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:06 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:07 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:08 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:09 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:10 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:11 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:12 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:13 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:14 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:15 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:16 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:17 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:18 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:19 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:20 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:21 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:22 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:23 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:24 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:25 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:26 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:27 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:28 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:29 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:30 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:31 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:32 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:33 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:34 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:35 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
16:36:36 10.05.18	1110					 3 0111 0000 0000					 2 0111 0000 0000					 2 0111 0000 0000
